Day,Address,Time,Title,Type,latitude,longitude
12/6/18,South Suburban 3301 Wireton Road (Blue Island),8:30AM-12:30PM,Milk Distribution,Special Events,41.66134,-87.70148
12/6/18,4800 W. Chicago Avenue Chicago IL 60651,9:30AM-12:30PM,CCHHS Austin FRESH Truck,Fresh Truck,41.89499,-87.74615
12/6/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/7/18,4100 W Ann Lurie Place Chicago IL 60632,9:00AM-11:45AM,Repack,Repack,41.81637,-87.72633
12/8/18,4100 W Ann Lurie Place Chicago IL 60632,8:30AM-11:15AM,Repack,Repack,41.81637,-87.72633
12/8/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/11/18,Northwest FCRC 4105 west chicago ave chicago il 60651,8:30AM-11:30AM,Milk Distribution,Special Events,41.89533,-87.72944
12/11/18,4100 W Ann Lurie Place Chicago IL 60632,9:00AM-11:45AM,Repack,Repack,41.81637,-87.72633
12/11/18,1645 Cottage Grove Ave Ford Heights IL 60411,9:30AM-12:30PM,CCHHS Cottage Grove FRESH Truck,Fresh Truck,41.50398,-87.59689
12/11/18,Lower North FCRC 2650 west fulton street chicago,11:30AM-2:30PM,Milk Distribution- Lower North FCRC,Immediate Need,41.8865311,-87.693714
12/11/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/12/18,4150 W 55th Street Chicago IL 60632,8:00AM-11:00AM,CDPH Greater Lawn FRESH Truck,Fresh Truck,41.79318,-87.72771
12/12/18,Roseland FCRC 11203 South Ellis,8:30AM-12:30PM,Milk Distribution- Roseland FCRC,Special Events,41.69112,-87.60518
12/12/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/12/18,4100 W Ann Lurie Place Chicago IL 60632,6:00PM-8:45PM,Repack,Repack,41.81637,-87.72633
12/13/18,3800 W Madison Street Chicago IL 60624,8:00AM-11:00AM,ACCESS Madison FRESH Truck,Fresh Truck,41.88079,-87.72114
12/13/18,5159 S. Ashland Ave. Chicago IL 60609,12:00PM-3:00PM,ACCESS Ashland FRESH Truck,Fresh Truck,41.7997054,-87.66472
12/13/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/14/18,4100 W Ann Lurie Place Chicago IL 60632,9:00AM-11:45AM,Repack,Repack,41.81637,-87.72633
12/15/18,4100 W Ann Lurie Place Chicago IL 60632,8:30AM-11:15AM,Repack,Repack,41.81637,-87.72633
12/18/18,4100 W Ann Lurie Place Chicago IL 60632,9:00AM-11:45AM,Repack,Repack,41.81637,-87.72633
12/18/18,13450 S. Kedzie Ave. Robbins IL 60472,9:30AM-12:30PM,CCHHS Robbins FRESH Truck,Fresh Truck,41.6475,-87.69914
12/18/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/19/18,152 W. Lincoln Hwy Chicago Heights IL 60411,9:30AM-12:00PM,ACCESS Chicago Heights FRESH Truck,Fresh Truck,41.50606,-87.64726
12/19/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/19/18,4100 W Ann Lurie Place Chicago IL 60632,6:00PM-8:00PM,Repack,Repack,41.81637,-87.72633
12/20/18,1135 W. 69th St. Chicago IL 60621,8:00AM-11:00AM,CCHHS Englewood FRESH Truck,Fresh Truck,41.76872,-87.65335
12/20/18,3525 S. Michigan Ave. Chicago IL 60653,12:00PM-3:00PM,CCHHS Near South FRESH Truck,Fresh Truck,41.83038,-87.62324
12/20/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/21/18,4100 W Ann Lurie Place Chicago IL 60632,9:00AM-11:45AM,Repack,Repack,41.81637,-87.72633
12/26/18,5401 S. Wentworth Ave. Chicago IL 60609,8:00AM-11:00AM,ACCESS Grand Blvd FRESH Truck,Fresh Truck,41.79691,-87.63057
12/26/18,3752 W. 16th St. Chicago IL 60623,12:00PM-3:00PM,ACCESS West Side FRESH Truck,Fresh Truck,41.85893,-87.71972
12/26/18,4100 W Ann Lurie Place Chicago IL 60632,1:30PM-3:30PM,Family Day,Kid Friendly Opportunities,41.81637,-87.72633
12/27/18,4100 W Ann Lurie Place Chicago IL 60632,1:00PM-3:45PM,Repack,Repack,41.81637,-87.72633
12/28/18,4100 W Ann Lurie Place Chicago IL 60632,9:00AM-11:45AM,Repack,Repack,41.81637,-87.72633
